goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
1,2005-05-01,FCBarcelona,Albacete,LL,1,Ronaldinho,13,34,1,0,,
2,2005-11-02,FCBarcelona,Panathanaikos,CL,1,none,2,58,1,0,tap-in,
3,2005-11-27,FCBarcelona,Racing Santander,LL,1,none,13,60,1,0,,
4,2006-01-15,FCBarcelona,Athletic Club,LL,0,none,3,40,1,0,tap-in,
5,2006-01-22,FCBarcelona,Alaves,LL,0,none,4,44,1,0,tap-in,
6,2006-01-29,FCBarcelona,mallorca,LL,0,Sylvinho,13,35,2,0,,
7,2006-01-30,FCBarcelona,mallorca,LL,0,Ronaldinho,7,31,1,0,chip,
8,2006-02-01,FCBarcelona,Real Zaragoza,CDR,1,giuly,7,43,3,0,header,
9,2006-02-18,FCBarcelona,Real Betis,LL,1,none,3,42,1,0,self rebound,
10,2006-03-01,Argentina,Croatia,IF,0,none,20,64,1,0,solo,
11,2006-06-16,Argentina,Serbia,WC,0,Tevez,10,64,2,0,,
12,2006-08-28,FCBarcelona,Celta Vigo,LL,0,Iniesta,13,39,1,0,,
13,2006-09-09,FCBarcelona,Osasuna,LL,0,Etoo,8,57,1,0,,
14,2006-09-27,FCBarcelona,Werder Bremen,CL,0,Deco,11,62,1,0,,
15,2006-10-15,FCBarcelona,Sevilla,LL,1,Xavi,8,64,2,0,,
16,2007-03-10,FCBarcelona,Real Madrid,LL,1,Etoo,8,58,1,0,,first hat trick
17,2007-03-11,FCBarcelona,Real Madrid,LL,1,none,8,57,1,0,rebound,
18,2007-03-12,FCBarcelona,Real Madrid,LL,1,Ronaldinho,10,37,1,0,,
19,2007-03-17,FCBarcelona,Huelva,LL,0,none,14,39,1,0,,
20,2007-03-31,FCBarcelona,Deportivo La Coruna,LL,1,Ronaldinho,9,39,1,0,,
21,2007-04-18,FCBarcelona,Getafe,CDR,1,Xavi,2,61,2,0,solo,enkara messi
22,2007-04-18,FCBarcelona,Getafe,CDR,1,Deco,10,45,1,0,,
23,2007-05-20,FCBarcelona,Atletico Madrid,LL,0,Etoo,9,45,1,0,,
24,2007-05-20,FCBarcelona,Atletico Madrid,LL,0,Van Brockhurst,9,37,1,0,,
25,2007-06-05,Argentina,Algeria,IF,1,Messi,11,50,1,1,,
